,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,khorinsk,8,RU,1545616138,45,52.16,109.78,-2.94,8.23
1,ponta do sol,80,BR,1545616138,97,-20.63,-46.0,66.82,3.53
2,bredasdorp,0,ZA,1545613200,93,-34.53,20.04,57.2,2.24
3,vaitupu,56,BR,1545616138,94,-9.87,-56.08,73.88,1.63
4,alta floresta,64,PF,1545616138,100,-23.12,-134.97,78.16,17.74
5,rikitea,0,KZ,1545615000,77,50.28,57.21,6.8,6.71
6,aqtobe,0,ML,1545616138,50,20.2,1.01,49.72,10.02
7,tessalit,40,US,1545612780,68,19.71,-155.08,78.08,9.17
8,hilo,0,DZ,1545613200,39,27.87,-0.29,48.2,9.17
9,adrar,90,RU,1545615000,92,59.7,30.79,23.0,6.71
10,nikolskoye,48,ID,1545616139,94,-2.54,112.95,83.56,7.23
11,sampit,40,AR,1545613200,75,-54.81,-68.31,44.6,29.97
12,ushuaia,0,CL,1545613200,82,-42.48,-73.76,59.0,4.7
13,castro,48,RU,1545616140,0,66.32,-179.17,-29.04,3.2
14,egvekinot,92,ZA,1545616140,95,-33.59,26.89,70.28,10.25
15,port alfred,88,ZA,1545616140,96,-34.0,24.73,68.8,8.01
16,kruisfontein,76,KZ,1545616140,61,51.0,81.46,-2.94,2.98
17,gornyak,76,OM,1545616140,100,22.57,59.53,68.53,6.44
18,sur,90,US,1545614100,58,42.65,-73.75,33.98,2.42
19,albany,75,CA,1545613200,83,69.44,-133.03,-11.21,6.93
20,tuktoyaktuk,0,NZ,1545616141,54,-46.19,168.86,73.3,5.44
21,mataura,20,CL,1545613200,92,-53.16,-70.91,48.2,26.4
22,punta arenas,75,AU,1545613200,64,-28.65,153.62,80.6,6.93
23,byron bay,32,ZA,1545616141,100,-34.42,19.24,56.38,2.53
24,hermanus,0,IN,1545616141,59,18.42,84.04,69.52,3.98
25,narasannapeta,0,NE,1545616142,68,18.69,12.92,44.77,6.11
26,bilma,88,RU,1545616142,89,54.89,44.3,22.58,8.9
27,imeni stepana razina,90,CA,1545613200,93,50.7,-127.42,41.0,3.36
28,port hardy,88,TZ,1545616142,100,-2.55,33.05,66.32,4.21
29,kisesa,24,BR,1545616142,99,-22.97,-42.02,76.49,0.4
30,arraial do cabo,75,BR,1545613200,88,-28.24,-48.67,73.4,6.93
31,imbituba,90,FR,1545613200,100,48.06,-2.97,53.6,5.82
32,pontivy,20,MU,1545613200,88,-20.41,57.7,73.4,8.05
33,mahebourg,36,BO,1545616143,94,-16.98,-67.22,51.61,0.74
34,quime,0,AU,1545616143,79,-33.64,115.35,73.79,9.24
35,busselton,5,MX,1545612060,12,20.87,-101.52,60.8,6.93
36,romita,0,AU,1545615000,13,-34.93,138.6,89.6,11.41
37,adelaide,64,NO,1545614400,86,71.0,24.66,26.6,10.29
38,havoysund,8,GL,1545616144,81,77.48,-69.36,-9.24,6.89
39,barentsburg,90,CA,1545615060,75,68.22,-135.01,-16.61,10.02
40,qaanaaq,0,AU,1545615000,10,-42.88,147.33,84.2,21.92
41,kamenskoye,88,PT,1545616144,100,38.52,-28.7,58.22,19.98
42,louisbourg,0,AU,1545615000,10,-42.78,147.06,84.2,21.92
43,aklavik,64,CU,1545616145,100,20.34,-77.12,77.8,18.86
44,hobart,64,EC,1545616145,98,-0.74,-90.35,76.58,8.68
45,ribeira grande,92,CA,1545616145,92,43.74,-81.71,33.2,13.15
46,new norfolk,20,MU,1545613200,88,-20.34,57.76,73.4,8.05
47,manzanillo,0,ZA,1545616145,53,-30.97,22.13,63.76,9.13
48,puerto ayora,64,CA,1545616146,75,60.75,-137.51,-6.0,2.42
49,mys shmidta,56,IN,1545616146,96,26.91,70.91,47.02,9.57
50,goderich,36,SB,1545616146,100,-10.46,161.92,82.57,11.03
51,bambous virieux,1,US,1545616200,81,32.3,-81.24,53.6,10.29
52,grand river south east,0,AU,1545616146,26,-33.21,138.6,87.16,5.55
53,carnarvon,90,US,1545612960,81,39.31,-74.98,42.98,3.36
54,haines junction,40,CN,1545615000,82,22.54,114.05,62.6,5.82
55,jaisalmer,80,KZ,1545616147,60,47.96,80.43,-8.25,8.57
56,kirakira,20,BB,1545613200,65,13.22,-59.52,78.8,17.22
57,rincon,75,CK,1545613200,78,-21.21,-159.78,82.4,10.29
58,jamestown,8,PF,1545616147,100,-9.8,-139.03,81.58,17.74
59,port elizabeth,90,US,1545614220,87,60.79,-161.76,8.96,4.65
60,belushya guba,88,PH,1545616148,100,13.78,124.39,79.78,7.56
61,shenzhen,76,RU,1545616148,89,59.24,163.07,9.76,4.76
62,ayagoz,36,KI,1545616148,100,3.07,172.79,83.92,5.99
63,bathsheba,90,US,1545613980,77,43.97,-111.68,26.06,4.7
64,avarua,92,TZ,1545616149,93,-6.98,39.3,74.47,2.75
65,atuona,12,MV,1545616149,100,-0.6,73.08,82.12,6.55
66,illoqqortoormiut,0,RU,1545616149,0,68.75,161.3,-36.82,2.42
67,bethel,0,BS,1545616149,100,26.54,-77.06,70.33,8.34
68,gigmoto,76,RU,1545616149,60,71.97,114.09,-12.75,11.25
69,ossora,75,JP,1545614340,86,40.81,140.39,32.0,16.11
70,butaritari,36,RU,1545616150,100,63.05,179.32,-2.13,15.05
71,saint anthony,90,CA,1545613200,77,55.74,-97.86,-2.21,2.75
72,vikindu,0,AU,1545615000,24,-32.25,148.6,82.4,4.7
73,hithadhoo,92,NO,1545614400,95,65.46,12.2,33.8,25.28
74,cherskiy,20,PE,1545616150,94,-10.07,-78.15,64.03,3.09
75,marsh harbour,75,MX,1545612240,60,22.89,-109.91,73.4,3.36
76,saskylakh,90,CA,1545613200,92,54.52,-128.61,30.2,2.24
77,kizukuri,0,AR,1545616151,33,-38.31,-60.23,79.82,12.37
78,beringovskiy,5,CA,1545613200,68,63.75,-68.52,-14.81,25.28
79,thompson,40,PF,1545615000,66,-17.73,-149.15,86.0,4.7
80,dubbo,20,PY,1545616151,73,-26.98,-56.83,74.38,4.76
81,bronnoysund,92,RU,1545616152,85,60.98,32.97,17.0,2.75
82,huarmey,0,CL,1545613200,63,-36.72,-73.12,64.4,9.17
83,cabo san lucas,75,JP,1545613200,94,24.34,124.16,68.0,26.4
84,terrace,0,US,1545613080,77,64.84,-147.72,-13.01,6.44
85,barrow,90,CA,1545613200,92,50.1,-91.92,17.6,2.24
86,camana,40,AU,1545615000,66,-14.47,132.26,89.6,6.93
87,marang,20,JP,1545615000,29,35.74,139.53,50.36,12.75
88,iqaluit,44,SO,1545616153,100,11.47,49.87,60.97,3.98
89,tautira,75,PM,1545613200,80,47.1,-56.38,30.2,27.51
90,tsihombe,0,BW,1545616153,16,-26.02,22.4,70.19,8.9
91,san patricio,40,MX,1545612780,72,16.35,-93.53,68.0,21.92
92,olonets,40,MN,1545615000,76,47.92,106.92,-11.21,2.24
93,skalistyy,92,NZ,1545616154,100,-35.17,173.16,65.78,9.01
94,nizhneyansk,40,MX,1545612000,69,15.86,-97.07,77.0,2.64
95,talcahuano,40,JP,1545613200,53,33.72,135.99,51.8,5.82
96,ishigaki,24,BR,1545616154,89,-4.26,-55.99,76.4,3.09
97,fairbanks,0,UY,1545616154,93,-33.69,-53.46,60.88,6.44
98,sioux lookout,64,KZ,1545616155,76,51.96,66.41,-3.48,8.68
99,katherine,88,PH,1545616155,99,11.0,122.67,77.71,7.34
100,nishihara,40,GY,1545613200,88,6.8,-58.16,77.0,4.7
101,marcona,92,ZA,1545616155,100,-33.02,27.91,72.62,7.0
102,qandala,0,AU,1545613200,8,-25.24,130.99,91.4,13.87
103,miquelon,68,GF,1545616156,100,4.27,-54.38,71.9,2.86
104,tsabong,0,ES,1545615000,26,28.66,-17.92,71.6,20.8
105,cristobal obregon,0,PT,1545613200,87,37.14,-8.45,51.8,8.05
106,ulaanbaatar,44,RU,1545616156,38,62.16,117.65,-25.03,5.21
107,ahipara,36,PG,1545616157,100,-6.22,155.63,82.34,3.65
108,puerto escondido,88,GL,1545612600,100,64.17,-51.74,37.4,38.03
109,shingu,8,SA,1545616157,83,18.39,42.45,42.52,2.64
110,itaituba,0,LY,1545616157,81,29.03,21.55,42.83,5.44
111,chuy,75,JP,1545613200,60,38.08,138.43,41.0,11.41
112,esil,20,ID,1545613200,74,-0.92,100.36,80.6,2.24
113,dingle,24,RU,1545616158,33,61.68,64.48,-22.29,8.01
114,georgetown,20,ES,1545613200,100,42.77,-9.06,50.0,6.93
115,karaul,90,RU,1545615000,71,52.01,106.87,3.2,13.42
116,east london,75,US,1545612780,55,46.01,-112.54,30.02,4.99
117,ijaki,0,ES,1545613200,87,38.18,-1.13,44.6,3.36
118,yulara,80,PH,1545616158,62,17.54,120.52,83.2,4.76
119,grand-santi,20,US,1545612960,64,22.08,-159.32,80.96,12.75
120,los llanos de aridane,90,US,1545615600,93,37.78,-122.42,57.92,3.09
121,lagoa,75,AU,1545613200,50,-26.54,151.84,77.0,10.29
122,suntar,20,CA,1545613200,67,63.59,-135.9,-27.41,2.64
123,saleaula,24,IN,1545613200,88,15.34,74.49,64.4,3.36
124,kieta,0,PT,1545613200,93,38.8,-9.45,48.2,8.05
125,nuuk,12,FR,1545613200,67,43.56,6.97,57.2,16.11
126,faya,8,IR,1545616163,100,25.29,60.65,66.59,7.0
127,jalu,0,AU,1545616164,55,-23.58,149.07,81.62,14.83
128,ryotsu,0,KE,1545616164,86,-1.37,38.02,57.68,4.09
129,padang,0,BR,1545616164,99,-17.73,-39.27,80.5,23.55
130,kommunisticheskiy,0,ZA,1545613200,82,-33.93,18.42,68.0,12.75
131,muros,80,RU,1545616164,100,50.68,156.12,31.85,14.27
132,selenginsk,75,BN,1545615000,100,5.28,115.24,80.6,8.34
133,butte,0,GW,1545616165,100,11.28,-15.83,78.47,6.78
134,fortuna,32,SO,1545616122,99,2.04,45.34,79.6,24.79
135,san quintin,1,US,1545614100,72,34.64,-120.46,60.98,12.75
136,kapaa,24,PT,1545616165,84,41.42,-6.55,28.79,2.75
137,san francisco,0,PE,1545613200,77,-13.71,-76.2,69.8,19.46
138,kingaroy,20,BR,1545616166,88,-27.41,-51.77,67.18,7.56
139,mayo,68,RU,1545616166,100,59.36,143.24,8.32,7.67
140,vaini,0,ML,1545616166,64,18.44,1.41,48.5,9.69
